127.0.0.1, 2017-01-29 01:01:20, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001221
127.0.0.1, 2017-01-29 01:01:20, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000626
127.0.0.1, 2017-01-29 01:01:20, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.018998
127.0.0.1, 2017-01-29 01:01:20, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000789
127.0.0.1, 2017-01-29 01:01:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2017-01-29 01:01:25, POST, /admin/default/index, HTTP/1.1, 303, 0.062345
127.0.0.1, 2017-01-29 01:01:25, GET, /admin/default/site, HTTP/1.1, 200, 0.081244
127.0.0.1, 2017-01-29 01:01:25, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000774
127.0.0.1, 2017-01-29 01:01:25, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000862
127.0.0.1, 2017-01-29 01:01:25, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000826
127.0.0.1, 2017-01-29 01:01:25, POST, /admin/default/check_version, HTTP/1.1, 200, 0.218609
127.0.0.1, 2017-01-29 01:01:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000352
127.0.0.1, 2017-01-29 01:02:16, POST, /admin/default/site, HTTP/1.1, 303, 0.180485
127.0.0.1, 2017-01-29 01:02:16, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.223766
127.0.0.1, 2017-01-29 01:02:16, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.003034
127.0.0.1, 2017-01-29 01:02:17, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000554
127.0.0.1, 2017-01-29 01:02:17, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000883
127.0.0.1, 2017-01-29 01:02:17, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000613
127.0.0.1, 2017-01-29 01:02:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2017-01-29 01:02:43, GET, /hello, HTTP/1.1, 200, 0.048367
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000652
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002432
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001325
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/js/jquery.js, HTTP/1.1, 200, 0.001154
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/js/web2py.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/css/calendar.css, HTTP/1.1, 200, 0.002020
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/js/calendar.js, HTTP/1.1, 200, 0.000558
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000587
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000604
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/js/share.js, HTTP/1.1, 200, 0.001350
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/images/background.jpg, HTTP/1.1, 200, 0.000589
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000584
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/images/twitter.png, HTTP/1.1, 200, 0.001114
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/images/facebook.png, HTTP/1.1, 200, 0.000734
127.0.0.1, 2017-01-29 01:02:43, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 200, 0.000889
127.0.0.1, 2017-01-29 01:02:44, GET, /hello/static/images/favicon.ico, HTTP/1.1, 200, 0.000989
127.0.0.1, 2017-01-29 01:02:50, GET, /admin/default/index, HTTP/1.1, 303, 0.015883
127.0.0.1, 2017-01-29 01:02:50, GET, /admin/default/site, HTTP/1.1, 200, 0.062068
127.0.0.1, 2017-01-29 01:02:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000601
127.0.0.1, 2017-01-29 01:03:05, GET, /hello, HTTP/1.1, 200, 0.062213
127.0.0.1, 2017-01-29 01:03:10, GET, /hello/default/user/register, HTTP/1.1, 200, 0.040375
127.0.0.1, 2017-01-29 01:03:21, POST, /hello/default/user/register, HTTP/1.1, 303, 0.049014
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/default/index, HTTP/1.1, 200, 0.029985
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000556
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000465
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003554
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/js/jquery.js, HTTP/1.1, 304, 0.000459
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/css/calendar.css, HTTP/1.1, 304, 0.000533
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/js/calendar.js, HTTP/1.1, 304, 0.000441
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/js/web2py.js, HTTP/1.1, 304, 0.000464
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000477
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000842
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/js/share.js, HTTP/1.1, 304, 0.001133
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/images/background.jpg, HTTP/1.1, 304, 0.000496
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000507
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/images/twitter.png, HTTP/1.1, 304, 0.000593
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/images/facebook.png, HTTP/1.1, 304, 0.000775
127.0.0.1, 2017-01-29 01:03:21, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 304, 0.000445
127.0.0.1, 2017-01-29 01:03:29, GET, /hello/default/user/profile, HTTP/1.1, 200, 0.027730
127.0.0.1, 2017-01-29 01:03:31, POST, /hello/default/user/profile, HTTP/1.1, 303, 0.026178
127.0.0.1, 2017-01-29 01:03:31, GET, /hello/default/index, HTTP/1.1, 200, 0.027968
127.0.0.1, 2017-01-29 01:06:25, GET, /, HTTP/1.1, 303, 0.016238
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.203506
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000529
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000407
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000529
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.022658
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.006756
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001313
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001432
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003219
